Type	ID	Earthquake_occurrenceTime	Epicenter_Lon	Epicenter_Lat	Epicenter_Mag	Epicenter_Depth	    EEW_Lon 	EEW_Lat	EEW_Mag	EEW_Dep EEW_processing_time 
oY	122	201510161701054 	122.943	24.723	5.1	121.57	123.25	24.65	4.9	80	38
xY	123	201510190217035 	122.0145	24.8578	5.32	14.41	122	24.83	5.6	10	17
xY	124	201510190542011 	122.0077	24.8388	4.69	11.3	122.02	24.82	5.2	10	21
xY	125	201510190720015 	121.9977	24.8325	4.68	8.71	122.01	24.83	4.8	10	17
oY	126	201511012109042 	121.5837	22.7322	5.88	18.81	121.36	22.79	5.5	30	21
xL	127	201511012111021 	121.573	22.74	4.67	14.69					
oY	128	201511030006024 	122.0175	24.8333	4.67	1.38	121.96	24.81	4.7	10	26
xL	129	201511030006030 	122.0275	24.8495	4.77	8.87					
oY	130	201511050906026 	121.828	23.9298	4.98	47.93	121.77	23.94	4.6	30	22
xL	131	201511101453012 	122.3082	24.7952	4.51	14.24					
oY	132	201511111533019 	122.7538	24.4743	5.49	95.56	123.25	24.36	5.3	90	30
xY	133	201511112131056 	121.8467	24.9855	4.61	133.06	121.78	24.83	4.6	70	39
xN	134	201511232201035 	122.9687	21.7527	4.53	57.04					
oY	135	201511280052023 	122.2613	25.1883	5.15	219.36	121.87	24.99	4.6	40	36
xY	136	201512020521057 	121.9108	24.1908	4.85	23.91	121.79	24.22	4.5	20	20
xY	137	201512020553000 	121.8927	24.1838	4.64	24.27	121.76	24.19	4.5	20	19
oY	138	201512031431013 	121.3862	22.604	5.34	25.89	121.14	22.6	5	20	24
xY	139	201512121547022 	121.3403	23.3722	4.64	12.37	121.34	23.39	4.5	10	18
xN	140	201512190740021 	121.956	21.053	4.9	175.94					
xN	141	201512191453031 	120.936	21.0992	4.57	86.39					
xY	142	201512242120022 	121.0275	24.0457	4.57	21.22	121.03	23.97	4.5	10	14
xN	143	201512270700038 	122.5938	24.5735	4.76	93.63					
xN	144	201512281835026 	122.5298	23.7943	4.66	53.6					
oY	145	201512310053014 	121.7968	21.4053	5.03	147.42	121.44	21.96	4.6	40	42
oY	146	201601031401030 	122.0797	24.595	4.89	66.39	122.18	24.65	4.5	50	23
xN	147	201601041720000 	121.3873	21.567	4.85	90.98					
xY	148	201601110452057 	121.5307	23.4338	5.25	33.15	121.4	23.47	4.9	20	19
xY	149	201601190213026 	121.3125	22.787	5.8	29.72	121.29	22.8	5.8	20	22
xN	150	201601261605036 	121.3755	21.5008	4.55	57.45					
oY	151	201602021419021 	123.5358	25.4235	6.65	203.74	122	24.98	5	30	46
xY	152	201602051957026 	120.5438	22.922	6.6	14.64	120.59	22.92	6.1	10	13
xN	153	201602051958028 	120.4332	22.9418	5.26	18.1					
xN	154	201602052000006 	120.3193	22.966	4.9	24.32					
